gu,rent,return,station,weight
강남구,2680,2866,수서역 5번출구,28.04
강남구,1928,1878,압구정역 2번 출구 옆,20.17
강남구,1671,1742,대모산입구역 4번 출구 앞,17.48
강남구,1658,1786,도곡역 아카데미스위트 앞,17.35
강남구,1620,1634,대청역 1번출구 뒤,16.95
강동구,5324,5402,둔촌역 3번 출입구,29.87
강동구,4421,4526,굽은다리역,24.8
강동구,3643,4147,암사역 3번출구(국민은행앞),20.44
강동구,2775,2732,강동구청역 1번 출입구,15.57
강동구,1661,1664,명일역 3번출구 옆,9.32
강북구,2527,2624,강북구청사거리(수유역 8번출구),41.43
강북구,1080,1071,"미아역 3번,4번 출구 사이",17.7
강북구,1066,1055,가오리역,17.48
강북구,789,787,미아역 1번 출구 뒤,12.93
강북구,638,641,4.19민주묘지역,10.46
강서구,10112,10177,마곡나루역 5번출구 뒤편,26.24
강서구,9368,9121,"발산역 1번, 9번 인근 대여소",24.31
강서구,6665,6680,발산역 6번 출구 뒤,17.3
강서구,6316,6381,마곡역 7번출구,16.39
강서구,6071,6099,양천향교역 7번출구앞,15.76
관악구,4279,4665,신대방역 2번 출구,36.01
관악구,3474,3547,신림역 8번출구,29.24
관악구,1417,1539,봉천역 2번출구,11.93
관악구,1403,1393,서울대입구역 5번출구,11.81
관악구,1309,1469,봉천역 4번출구,11.02
광진구,9495,9895,자양(뚝섬한강공원)역 1번출구 앞,30.8
광진구,6681,7332,건대입구역 사거리(롯데백화점),21.68
광진구,5827,5943,건대입구역 5번출구 뒤,18.9
광진구,5570,5622,군자역 7번출구뒤,18.07
광진구,3250,3218,아차산역 3번출구,10.54
구로구,6157,6195,구로디지털단지역 앞,30.81
구로구,6065,6033,신도림역 1번 출구 앞,30.35
구로구,2996,3003,구로역 광장,14.99
구로구,2834,2799,도림천역 1번 출구 앞,14.18
구로구,1932,1650,천왕역 1번 출입구 앞,9.67
금천구,1762,1765,독산역 2번출구 자전거주차장,36.17
금천구,1314,1598,금천구청역 1번 출구,26.97
금천구,982,985,독산역 1번출구 A,20.16
금천구,668,664,독산역 롯데캐슬 104동 앞,13.71
금천구,146,143,석수역 지점 앞,3.0
노원구,4960,4990,상계역 3번출구,24.26
노원구,4618,5479,석계역 문화광장 내 자전거 보관소,22.58
노원구,3938,4409,공릉역 1번 출구 앞,19.26
노원구,3684,3656,태릉입구역 5번출구,18.02
노원구,3248,3491,중계역 6번출구,15.88
도봉구,4820,5024,창동역 1번출구 앞,40.35
도봉구,4237,5011,창동역 2번출구,35.47
도봉구,1160,1155,창동역 1번출구 건너편,9.71
도봉구,1014,1006,"도봉역 1,2번 출구사이 건너편",8.49
도봉구,713,752,녹천역 1번출구 앞,5.97
동대문구,3960,4251,답십리역 1번출구,29.4
동대문구,2764,2650,제기동역 1번출구,20.52
동대문구,2464,2576,신설동역 10번출구 앞,18.29
동대문구,2398,2615,용두역 4번출구,17.8
동대문구,1884,1909,신답역 사거리,13.99
동작구,5132,5132,보라매병원역 1번출구,35.74
동작구,2649,3092,노량진역 5번출구,18.45
동작구,2608,3057,노들역 1번출구,18.16
동작구,2160,2208,신대방삼거리역 6번출구쪽,15.04
동작구,1811,2336,이수역 11번출구쪽,12.61
마포구,5563,6489,홍대입구역 2번출구 앞,31.44
마포구,3363,3499,망원역 1번출구 앞,19.01
마포구,3072,3343,공덕역 8번출구,17.36
마포구,2904,2861,DMC역 9번출구 앞,16.41
마포구,2790,3184,마포역 4번출구 뒤,15.77
서대문구,1903,1949,가좌역 4번출구 앞,42.93
서대문구,1323,1347,서대문역 2번 출구,29.84
서대문구,604,381,충정로역 7번출구 아래,13.63
서대문구,329,321,서대문역 8번출구 앞,7.42
서대문구,274,203,이대역 4번 출구,6.18
서초구,3170,3210,"고속터미널역 8-1번, 8-2번 출구 사이",28.22
서초구,2409,2573,이수역 1번출구,21.45
서초구,2345,2382,양재시민의숲역 1번출구,20.88
서초구,1677,1694,매헌역 2번출구앞광역버스 정류장앞(22-297),14.93
서초구,1632,1619,양재시민의숲역 3번출구,14.53
성동구,6051,6289,장한평역 8번 출구 앞,28.49
성동구,4906,4882,성수역 2번출구 앞,23.1
성동구,4325,4851,옥수역 3번출구,20.36
성동구,3086,3401,응봉역 1번출구,14.53
성동구,2870,2808,뚝섬역 1번 출구 옆,13.51
성북구,2920,3021,월곡역 3번출구,30.0
성북구,2347,2475,돌곶이역 앞,24.11
성북구,2007,2071,석계역 5번출구 건너편,20.62
성북구,1356,1454,길음역 3번출구 뒤,13.93
성북구,1104,1101,상월곡역 3번출구,11.34
송파구,6034,6010,몽촌토성역 3번 출구,24.01
송파구,5855,6126,송파나루역 4번 출구옆,23.29
송파구,4957,4943,올림픽공원역 3번출구,19.72
송파구,4371,4400,잠실새내역 5번 출구 뒤,17.39
송파구,3918,3900,잠실역 8번출구,15.59
양천구,5768,6391,오목교역 3번출구,25.97
양천구,4245,4663,오목교역 7번출구 앞,19.11
양천구,4181,4450,양천구청역 1번출구,18.83
양천구,4117,4398,목동역 3번 출구,18.54
양천구,3897,3655,신목동역 2번 출구,17.55
영등포구,8473,8376,영등포구청역 1번출구,29.82
영등포구,5675,5130,여의나루역 1번출구 앞,19.97
영등포구,5300,5265,당산역 10번출구 앞,18.65
영등포구,4532,4554,영등포시장역 포레나영등포,15.95
영등포구,4431,4250,문래역 4번출구 앞,15.6
용산구,1918,1948,신용산역 1번 출구,23.42
용산구,1882,1917,신용산역 6번출구 앞,22.98
용산구,1716,1752,효창공원앞역 3번출구 뒤,20.95
용산구,1514,1656,숙대입구역 4번출구,18.48
용산구,1161,1185,삼각지역 14번 출구 앞(교통섬),14.17
은평구,2661,2855,연신내역 5번출구,23.3
은평구,2620,2821,구파발역 2번출구,22.94
은평구,2522,2787,새절역 2번출구,22.09
은평구,1919,1912,DMC역 5번 출구(수색역 방향),16.81
은평구,1697,1902,증산역 4번출구,14.86
종로구,3679,3769,동묘앞역 1번출구 뒤,25.1
종로구,3159,2970,광화문역 1번출구 앞,21.55
종로구,2905,2662,광화문역 5번출구,19.82
종로구,2471,2457,동대문역 8번 출구,16.86
종로구,2446,2452,경복궁역 6번출구 뒤,16.68
중구,4730,4955,신당역 12번 출구 뒤,38.84
중구,2203,1765,을지로입구역 2번출구,18.09
중구,1981,1985,을지로3가역 3번출구,16.27
중구,1714,1717,청구역 2번출구 앞,14.07
중구,1551,1545,을지로입구역 4번출구 앞,12.74
중랑구,3290,3387,사가정역 2번출구,24.48
중랑구,2801,2826,상봉역 2번 출구,20.84
중랑구,2729,2829,면목역 3번출구,20.31
중랑구,2647,2646,상봉역 1번출구,19.69
중랑구,1973,2191,화랑대역 7번출구,14.68
